fileName,movLength*4,aBiggerThanThree,aBiggerThanThreePercentage,aZero,aZeroPercentage,bNotZero,bNotZeroPercentage
movement_0_1_24.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_25.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_26.csv,2000,0,0.0,0,0.0,682,34.1
movement_0_1_27.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_28.csv,2000,0,0.0,11,0.5499999999999999,0,0.0
movement_0_1_29.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_30.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_31.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_32.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_33.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_34.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_35.csv,2000,0,0.0,64,3.2,1681,84.05
movement_0_1_36.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_37.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_38.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_39.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_1_40.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_41.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_42.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_43.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_44.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_45.csv,2000,0,0.0,0,0.0,389,19.45
movement_0_1_46.csv,2000,0,0.0,0,0.0,1149,57.45
movement_0_1_47.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_48.csv,2000,0,0.0,0,0.0,1498,74.9
movement_0_1_49.csv,2000,0,0.0,0,0.0,1805,90.25
movement_0_1_50.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_51.csv,2000,0,0.0,5,0.25,0,0.0
movement_0_1_52.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_53.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_54.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_55.csv,2000,0,0.0,0,0.0,1026,51.300000000000004
movement_0_1_56.csv,2000,0,0.0,0,0.0,1301,65.05
movement_0_1_57.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_58.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_59.csv,2000,0,0.0,0,0.0,1724,86.2
movement_0_1_60.csv,2000,0,0.0,36,1.7999999999999998,1146,57.3
movement_0_1_61.csv,2000,0,0.0,0,0.0,368,18.4
movement_0_1_62.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_63.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_64.csv,2000,0,0.0,0,0.0,193,9.65
movement_0_1_65.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_1_66.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_67.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_68.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_69.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_70.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_71.csv,2000,0,0.0,0,0.0,1057,52.849999999999994
movement_0_1_72.csv,2000,0,0.0,0,0.0,1524,76.2
movement_0_1_73.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_74.csv,2000,0,0.0,21,1.05,0,0.0
movement_0_1_75.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_76.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_77.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_1_78.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_79.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_80.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_81.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_82.csv,2000,0,0.0,0,0.0,1010,50.5
movement_0_1_83.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_84.csv,2000,0,0.0,25,1.25,328,16.400000000000002
movement_0_1_85.csv,2000,0,0.0,0,0.0,1026,51.300000000000004
movement_0_1_86.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_1_87.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_88.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_89.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_90.csv,2000,0,0.0,32,1.6,0,0.0
movement_0_1_91.csv,2000,0,0.0,0,0.0,997,49.85
movement_0_1_92.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_93.csv,2000,0,0.0,0,0.0,1104,55.2
movement_0_1_94.csv,2000,0,0.0,0,0.0,1041,52.05
movement_0_1_95.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_96.csv,2000,0,0.0,10,0.5,0,0.0
