fileName,aBiggerThanThree,movLength*4,aBiggerThanThreePercentage
movement_2_0_28.csv,768,2000,38.4
movement_2_0_29.csv,0,2000,0
movement_2_0_30.csv,1517,2000,75.85
movement_2_0_31.csv,0,2000,0
movement_2_0_32.csv,789,2000,39.45
movement_2_0_33.csv,0,2000,0
movement_2_0_34.csv,0,2000,0
movement_2_0_35.csv,1716,2000,85.8
movement_2_0_36.csv,1410,2000,70.5
movement_2_0_37.csv,747,2000,37.35
movement_2_0_38.csv,1496,2000,74.8
movement_2_0_39.csv,0,2000,0
movement_2_0_40.csv,1497,2000,74.85
movement_2_0_41.csv,0,2000,0
movement_2_0_42.csv,0,2000,0
movement_2_0_43.csv,500,2000,25
movement_2_0_44.csv,0,2000,0
movement_2_0_45.csv,0,2000,0
movement_2_0_46.csv,0,2000,0
movement_2_0_47.csv,0,2000,0
movement_2_0_48.csv,0,2000,0
movement_2_0_49.csv,998,2000,49.9
movement_2_0_50.csv,303,2000,15.15
movement_2_0_51.csv,747,2000,37.35
movement_2_0_52.csv,0,2000,0
movement_2_0_53.csv,1021,2000,51.05
movement_2_0_54.csv,499,2000,24.95
movement_2_0_55.csv,0,2000,0
movement_2_0_56.csv,0,2000,0
movement_2_0_57.csv,1492,2000,74.6
movement_2_0_58.csv,442,2000,22.1
movement_2_0_59.csv,723,2000,36.15
movement_2_0_60.csv,1491,2000,74.55
movement_2_0_61.csv,0,2000,0
movement_2_0_62.csv,0,2000,0
movement_2_0_63.csv,1494,2000,74.7
movement_2_0_64.csv,1491,2000,74.55
movement_2_0_65.csv,0,2000,0
movement_2_0_66.csv,0,2000,0
movement_2_0_67.csv,760,2000,38
movement_2_0_68.csv,0,2000,0
movement_2_0_69.csv,888,2000,44.4
movement_2_0_70.csv,0,2000,0
movement_2_0_71.csv,1494,2000,74.7
movement_2_0_72.csv,1019,2000,50.95
movement_2_0_73.csv,990,2000,49.5
movement_2_0_74.csv,0,2000,0
movement_2_0_75.csv,0,2000,0
movement_2_0_76.csv,1497,2000,74.85
movement_2_0_77.csv,1042,2000,52.1
movement_2_0_78.csv,701,2000,35.05
movement_2_0_79.csv,0,2000,0
movement_2_0_80.csv,760,2000,38
movement_2_0_81.csv,0,2000,0
movement_2_0_82.csv,1023,2000,51.15
movement_2_0_83.csv,1497,2000,74.85
movement_2_0_84.csv,0,2000,0
movement_2_0_85.csv,1992,2000,99.6
movement_2_0_86.csv,1495,2000,74.75
movement_2_0_87.csv,48,2000,2.4
movement_2_0_88.csv,0,2000,0
movement_2_0_89.csv,0,2000,0
movement_2_0_90.csv,0,2000,0
movement_2_0_91.csv,1456,2000,72.8
movement_2_0_92.csv,124,2000,6.2
movement_2_0_93.csv,499,2000,24.95
movement_2_0_94.csv,667,2000,33.35
movement_2_0_95.csv,773,2000,38.65
movement_2_0_96.csv,1517,2000,75.85
movement_2_0_97.csv,1495,2000,74.75
movement_2_0_98.csv,0,2000,0
movement_2_0_99.csv,0,2000,0
movement_2_1_0.csv,0,2000,0
movement_2_1_1.csv,0,2000,0
movement_2_1_2.csv,0,2000,0
movement_2_1_3.csv,0,2000,0
movement_2_1_4.csv,0,2000,0
movement_2_1_5.csv,0,2000,0
movement_2_1_6.csv,995,2000,49.75
movement_2_1_7.csv,0,2000,0
movement_2_1_8.csv,0,2000,0
movement_2_1_9.csv,0,2000,0
movement_2_1_10.csv,0,2000,0
movement_2_1_11.csv,0,2000,0
